original_tweet,cleaned_tweet,sentiment
Mengenal Walpri Perempuan dalam Pilkada Bondowoso â?? Radar Jember,mengenal pengawal pribadi perempuan dalam pilihan kepala daerah bondowoso ?? radar jember,negative
USER USER USER Disana mayoritas Budha. Ada jg pendetanya yg ikut Demo. Kau googling lah video demo di Thailand biar tau.',pengguna pengguna pengguna di sana mayoritas budha. ada juga pendetanya yang ikut demo. kamu googling lah video demo di thailand biar tau.',negative
USER USER Begitulah cara komunis bermain.',pengguna pengguna begitulah cara komunis bermain.',negative
suka kesel sama orang yang pas gua jadian confess ke gua giliran gua jomlo malah pada kemana tau NGOMONG SAMA SILIT',suka kesal sama orang yang pas gue jadian confess ke gue giliran gue jomlo malah pada kemana tau berbicara sama silit',negative
"USER Ehhhhh BANDOT USER LU MAU KRITIK PAK JOKOWI AMPE MENCRET DARAH IS OK....\nTPI KLO LU HINA, FITNAH... KAMI AKAN AMBIL TINDAKAN.... \nPAK JOKOWI PRESIDEN !!! PEMIMPIN NEGARA... \nLU PEMIMPIN AGAMA TPI SALAH KAPRAH LUUUU'","pengguna ehhhhh bandot pengguna kamu mau kritik pak jokowi sampai mencret darah is ok.... tetapi kalau kamu hina, fitnah... kami akan ambil tindakan.... pak jokowi presiden !!! pemimpin negara... kamu pemimpin agama tetapi salah kaprah luuuu'",negative
"Kita balas di sini gima kita usir budha ""USER: Kurang Ajar, Etnis Muslim Rohingya Disingkirkan dari Data Sensus Penduduk Myanmar","kita balas di sini bagaimana kita usir buddha ""user: kurang ajar, etnis muslim rohingya disingkirkan dari data sensus penduduk myanmar",negative
Astagfirullah mata gw ternodai \nTerkutuk kau yg ngert bokep \xf0\x9f\x98\xad[]',astagfirullah mata gue ternodai terkutuk kamu yang mengerti bokep []',negative
allah tidak memanggil orang yang mamputetapi allah akan memampukan siapa saja yang mauyang rinduyang yakin ke baitullah,allah tidak memanggil orang yang mampu tetapi allah akan memampukan siapa saja yang mau yang rindu yang yakin ke baitullah,negative
"USER Kntl ye, apus ga'","pengguna kontol ye, hapus ga'",negative
PENGOBATAN MONYET KEDIH URL,pengobatan monyet kedih uniform resource locator,negative
USER pergi lo bangkai',pengguna pergi kamu bangkai',negative
Kebingungan akan apa yang bisa ditoleransi dan enggak bikin Gw mikir itulah alasan kenapa dalam Katolik ada Paus sebagai Wakil Kristus',kebingungan akan apa yang bisa ditoleransi dan tidak bikin gue pikir itulah alasan kenapa dalam katolik ada paus sebagai wakil kristus',negative
USER || Itu... udah... ketawa kunti...',pengguna || itu... udah... tertawa kunti...',negative
Aamiin ya rabb.. Tolong USER Indonesia ya Alah dgn yg lebiiihhhh baik..,amin ya rabb.. tolong pengguna indonesia ya alah dengan yang lebiiihhhh baik..,negative
RT USER: Ustadz PKS Yudi Widiana nilep duit pk bahasa agama Juz &amp; Liqo Felix Kwetiauw &amp; alumni 212 pd mingkem &amp; pura2 budek..giliran Bu\xe2\x80\xa6',rt user: ustaz partai keadilan sejahtera yudi widiana menilap duit pak bahasa agama juz &amp; liqo felix kwetiau &amp; alumni 212 pada diam &amp; pura pura budek..giliran bu',negative
USER Amin... Smoga Istiqomah...\nJgn khawatir cibiran org anggap aja ujian..\nIngat banyak org2 yg dulunya masalahnya suram bahkan kafir sekalipun kemudian taubat dan menjadi tokoh pejuang agama Islam...',pengguna amin... semoga istiqomah... jangan khawatir cibiran orang anggap saja ujian.. ingat banyak orang orang yang dulunya masalahnya suram bahkan kafir sekalipun kemudian taubat dan menjadi tokoh pejuang agama islam...',negative
"Video call dengan Pak Gubernur USER yang sedang dinas ke Istanbul, Turkey. Dalam video call ini saya melaporkan yang pertama ialah tempat hiburan malam Karaoke Sense &amp; Diskotik Exotic telah ditutup secara hormat tanpa harus keras, dibantu ole","video call dengan pak gubernur pengguna yang sedang dinas ke istanbul, turkey. dalam video call ini saya melaporkan yang pertama ialah tempat hiburan malam karaoke sense &amp; diskotik eksotik telah ditutup secara hormat tanpa harus keras, dibantu ole",negative
"Yang kita bela adl Pancasila dan Kedaulatan Negara. Kalau USER tidak mendukung, maka LENGSERKAN SAJA!!... Saat ini Ancaman sudah Nyata!!.","yang kita bela adalah pancasila dan kedaulatan negara. kalau pengguna tidak mendukung, maka lengserkan saja!!... saat ini ancaman sudah nyata!!.",negative
"PROYEK SARACEN UTK GANJAL PELANTIKAN ANIES MSH TERUUS.... Temuan Baru Kasus Saracen, Ada Foto Tokoh partai politik","proyek saracen untuk ganjal pelantikan anies masih teruus.... temuan baru kasus saracen, ada foto tokoh partai politik",negative
USER ITULAH si ahok kutil babi,pengguna itulah sih ahok kutil babi,negative
USER kenapa Sukarno tidak di konotasikan juga rejim anti demokrasi\ndg embel2 presiden seumur hidup?',pengguna kenapa soekarno tidak di konotasikan juga rejim anti demokrasi dengan embel embel presiden seumur hidup?',negative
Hajar ndan.. ganyang PKI URL,hajar ndan.. ganyang partai komunis indonesia uniform resource locator,negative
Bangke sampe kg bsa tidur siang :(',bangkai sampai kg bisa tidur siang :(',negative
Pak jokowi kasian jg goregan PBB,pak jokowi kasihan juga gorengan pbb,negative
USER Amiinnnn; Dan Semoga Pak Jokowi jadi presiden lagi.,pengguna amiinnnn; dan semoga pak jokowi jadi presiden lagi.,negative
"USER Daripada gak menikah sama sekali...daripada menyimpang LGBT!Menikahlah, hidup lebih berkah...Dunia sdh rusak dgn perzinahan kini ada gerakan stop perkawinan dini.'","pengguna daripada tidak menikah sama sekali...daripada menyimpang lgbt!menikahlah, hidup lebih berkah...dunia sudah rusak dengan perzinaan kini ada gerakan stop perkawinan dini.'",negative
Kapolri USER harusnya mundur dari jabatannya...,kepala kepolisian republik indonesia pengguna harusnya mundur dari jabatannya...,negative
Berdayakan Ekonomi Pesantren Ulama Jawa Barat Dukung Jokowi di Pilpres 2019; #TetapJokowi2019,berdayakan ekonomi pesantren ulama jawa barat dukung jokowi di pemilihan presiden 2019; #tetapjokowi2019,negative
"Semangat Terus Pak USER. ; Kantor Staf Presiden Harus Terdepan Publikasikan Semua Kegiatan Presiden Supaya Rakyat Tau Bahwa Presiden Kerja Keras Membangun Bangsa ini, kerja.. kerja.. kerja; USER USER; USER USER","semangat terus pak user. ; kantor staf presiden harus terdepan publikasikan semua kegiatan presiden supaya rakyat tau bahwa presiden kerja keras membangun bangsa ini, kerja.. kerja.. kerja; pengguna user; pengguna pengguna",negative
USER DARIPADA COCOT',pengguna daripada cocot',negative
"ini saya setuju, makanya dukung presiden yang sudah berupaya mengurangi kekuasaan asing, mengurangi ekspor mentah, mengganti kontrak yang merugikan Indonesia","ini saya setuju, makanya dukung presiden yang sudah berupaya mengurangi kekuasaan asing, mengurangi ekspor mentah, mengganti kontrak yang merugikan indonesia",negative
USER USER USER USER Kristen Nusantara pasti ada conth HKBP Huria Krsten Batak Protestan; GKJ Greja Kristen Jawa; Gereja Pasundan; Gereja Manado; Gereja Maluku; Gereja Papua; dll. Masing2 punya ciri khas sesuai tradisi suku masing,pengguna pengguna pengguna pengguna kristen nusantara pasti ada contoh huria kristen batak protestan huria kristen batak protestan; gereja kristen jawa gereja kristen jawa; gereja pasundan; gereja manado; gereja maluku; gereja papua; dll. masing masing punya ciri khas sesuai tradisi suku masing,negative
RT USER USER USER Baru 3tahun dah segitu ya bentar lagi lewat utang sby njiiieng,rt pengguna pengguna pengguna baru tiga tahun sudah sebegitu ya bentar lagi lewat utang susilo bambang yudhoyono njiiieng,negative
"USER Mungkin masih banyak masyarakat tionghoa yg lebih pancasialis dr pada wong jowo cm nggak terekpos aja, contoh nyata pak kwik ekonom dan ustadz felix siauw \xf0\x9f\x98\x85'","pengguna mungkin masih banyak masyarakat tionghoa yang lebih pancasialis dari pada orang jawa cuma enggak terekspos aja, contoh nyata pak kwik ekonom dan ustaz felix siauw '",negative
USER USER USER USER USER USER USER USER USER USER USER USER USER USER Freeport takkan berdiam saja setelah negisiasi kalah..,pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna freeport tak akan berdiam saja setelah negosiasi kalah..,negative
Negara kayak menipu bocah SD aje.. Dokumennya hilang ... Fuih..,negara kayak menipu bocah sekolah dasar aje.. dokumennya hilang ... fuih..,negative
Allah SWT yang disembah dungu & biadab ya PERCUMA,allah subhanahu wa taala yang disembah dungu & biadab ya percuma,negative
RT USER ogah prabowo+pak gatot baru ok,rt pengguna ogah prabowo+pak gatot baru oke,negative
Perbanyaklah membaca CERDAS biar gak dicap goblok :v\n\n#just_kidding\nNB : hanya orang dengan IQ diatas rata-rata yang mengerti tulisan di atas :v',perbanyaklah membaca cerdas biar tidak dicap goblok :v #just_kidding nb : hanya orang dengan intelligence quotient di atas rata-rata yang mengerti tulisan di atas :v',negative
"Calon gubernur Jawa Tengah nomor urut 1, USER, mempertanyakan program unggulan rivalnya, USER, terkait pembukaan lapangan kerja sebanyak 5 juta dalam 5 tahun. Menurut Ganjar, di tengah situasi ekonomi saat ini, kemungkinan membuka lapang","calon gubernur jawa tengah nomor urut 1, user, mempertanyakan program unggulan rivalnya, user, terkait pembukaan lapangan kerja sebanyak 5 juta dalam 5 tahun. menurut ganjar, di tengah situasi ekonomi saat ini, kemungkinan membuka lapang",negative
USER Burik. Iya yg gitu burik panuan kutuan jamuran. Hah emang rang ajar.',pengguna burik. iya yang begitu burik panuan kutuan jamuran. ha memang rang ajar.',negative
USER We jancuk ngapain aku belajar',pengguna we jancuk apa aku belajar',negative
Amin Rais himbau masyarakat jangan sampai salah memilih pemimpin.,amin rais himbau masyarakat jangan sampai salah memilih pemimpin.,negative
"USER USER Kalo jaman gue SMP di Negeri dulu hari kamis pake baju kotak2 (jadi kayak seragam sekolah kristen gitu) hari jumat-nya cuma diwajibin pake celana panjang doang, ga pake baju koko, itu dulu yah \xf0\x9f\x98\x85'","pengguna pengguna kalau jaman gue sampai di negeri dulu hari kamis pakai baju kotak kotak (jadi kayak seragam sekolah kristen gitu) hari jumat-nya cuma diwajibkan pakai celana panjang doang, tidak pakai baju koko, itu dulu ya '",negative
"USER najis lo ngedm gajelas dm gue ga dibales bodo amat , gue doain nanti pentas.lo ga menang'","pengguna najis kamu mengirim pesan tidak jelas direct message gue tidak dibalas bodoh amat , gue doakan nanti pentas.lo tidak menang'",negative
Jd cowo banyak bacot amat si ajg mau gua gampar aja rasanya []',jadi cowok banyak bacot amat sih anjing mau gue gampar saja rasanya []',negative
Rizal Ramli: Mayoritas Masyarakat Tak Mau Beri Kesempatan Kedua Untuk Jokowi #KlikRMOL #capresrakyat,rizal ramli: mayoritas masyarakat tak mau beri kesempatan kedua untuk jokowi #klikrmol #capresrakyat,negative
"#ILCBoedionoCentury ketika ini terjadi, saya ikuti kasus ini cukup intens. Meski sekarang agak lupa...; Tapi kuncinya kita cuma butuh 2019 Ganti Presiden! Itu...","#ilcboedionocentury ketika ini terjadi, saya ikuti kasus ini cukup intens. meski sekarang agak lupa...; tapi kuncinya kita cuma butuh 2019 ganti presiden! itu...",negative
Maju Gubernurnya Sengsara Relawannya,maju gubernurnya sengsara relawannya,negative
"Mngkin sya bkan org baik,dan sya tidak perlu di anggap baik.paling tdk sya tdk munafik dgn berpura""baik.karena yg terpenting sya bisa berbuat baik'","mungkin saya bukan orang baik,dan saya tidak perlu di anggap baik.paling tidak saya tidak munafik dengan berpura""baik.karena yang terpenting saya bisa berbuat baik'",negative
"USER Dlm Kristen prinsip inkulturisasi dlm agama penting, bgmn mjd Katholik yg Indonesia ,menjadi Kristen yg Indonesia , sesuatu yg mungkin asing bagi Islam yg kental Arab.'","pengguna dalam kristen prinsip enkulturasi dalam agama penting, bagaimana menjadi katolik yang indonesia ,menjadi kristen yang indonesia , sesuatu yang mungkin asing bagi islam yang kental arab.'",negative
RT USER: Copras calon presiden.. Ndak mikir.. Ndak mikirrrr... (Ndak mikir apa si kowi 1 periode aja babak belur..) URL,rt user: copras calon presiden.. tidak mikir.. tidak mikirrrr... (ndak pikir apa sih kowi 1 periode saja babak belur..) uniform resource locator,negative
Cie tau ma jokowi ga dapet panggung mulai dah jilat-jilat Prabowo dasar lintah URL,wah tau sama jokowi tidak dapat panggung mulai sudah jilat-jilat prabowo dasar lintah uniform resource locator,negative
"Barusan dongo dongoin pemotor yg klakson bertubi2 padahal jelas lampu merah. ""Woy dongo! Brisik norak!"" \n\nPas nengok taunya temen SMP (--!)\n\nDia : Chaink?\n\n*aku nangis nganti metu eluh getih puteeeh~'","barusan dongok dongokkan pemotor yang klakson bertubi tubi padahal jelas lampu merah. ""woy dongo! berisik norak!"" pas menengok taunya teman sampai (--!) dia : chaink? *aku menangis ganti keluar lu darah puteeeh~'",negative
"USER USER USER Kenapa pak prabowo suka kampanye negatif, kampungan dan menggelikan?'","pengguna pengguna pengguna kenapa pak prabowo suka kampanye negatif, kampungan dan menggelikan?'",negative
"""Presidennya Pak Jokowi, gubernurnya saya dan Pak Anton, sehingga program selaras sejalan,"" kata Hasan.","""presidennya pak jokowi, gubernurnya saya dan pak anton, sehingga program selaras sejalan,"" kata hasan.",negative
"The Lie TJu siswi Kelas 1B, SMP Katolik Santo Petrus, 1984, istrinya Ronaldo Pardede siswa Kelas 1A, SMP Katolik Santo Petrus, 1984.'","the lie tju siswi kelas 1b, sampai katolik santo petrus, 1984, istrinya ronaldo pardede siswa kelas 1a, sampai katolik santo petrus, 1984.'",negative
Kalau nggak mau dengar Ulama dan tetap ngotot kriminalisasi ulama yaa kita lengserkan aja Jokowi,kalau enggak mau dengar ulama dan tetap mengotot kriminalisasi ulama ya kita lengserkan saja jokowi,negative
"USER Lo tuh yg bencong, bacot lo lebih2 dari cewe. Kaya banci yg ngamen gak dikasih duit bacotnya \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\nMending lo cakep mah, jelek Kaya gitu.\nMadesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84\nMentioned Gw langsung di quote tweet \xf0","pengguna kamu itu yang bencong, bacot kamu lebih lebih dari cewe. kayak banci yang mengamen tidak dikasih duit bacotnya mending kamu cakap mah, jelek kayak gitu. masa depan suram lagi mentioned gue langsung di kutipan twit",negative
Cina lg.. cina lg.. sebaiknya di usir aj ya? merusak sih kerjaannya,cina lg.. cina lg.. sebaiknya di usir saja ya? merusak sih kerjaannya,negative
USER Ayoh bangsa indonesia bersihkan etnis cina ahok,pengguna ayo bangsa indonesia bersihkan etnis cina ahok,negative
"RT USER: Tolong lah, kalo liat saya, bok ya manggilnya pas lg berpapasan aja. Selain saya sedikit buta, saya juga agak budek.\n\nLg nunggu\xe2\x80\xa6'","rt user: tolong lah, kalau lihat saya, bok ya memanggilnya pas lagi berpapasan aja. selain saya sedikit buta, saya juga agak budek. lagi nunggu'",negative
USER enak bgt yah Om jawabannya.\n\ngmn klo udah bom sby jgn diperdebatkan lagi tersangkanya udah meninggal...',pengguna enak banget ya om jawabannya. bagaimana kalau sudah bom susilo bambang yudhoyono jangan diperdebatkan lagi tersangkanya sudah meninggal...',negative
USER USER USER USER USER Kafir ada di Alquran....situ sehat???',pengguna pengguna pengguna pengguna pengguna kafir ada di alquran....situ sehat???',negative
RT USER Nggak ikut dukung calon presiden tapi sukanya ngatur Jokowi kenapa gak Prabowo aja yg diatur supaya menang dalam pemilihan presiden 2019.,rt pengguna enggak ikut dukung calon presiden tapi sukanya mengatur jokowi kenapa tidak prabowo saja yang diatur supaya menang dalam pemilihan presiden 2019.,negative
USER Kan hebat Ahok bisa memaafkan bini slm 7 thn bukan spt yg ono kabur krn ketauan menalukan ngaku ulama kok kelakuan bejad',pengguna kan hebat ahok bisa memaafkan bini salam 7 tahun bukan surat pemberitahuan tahunan yang ono kabur karena ketahuan memalukan mengakui ulama kok kelakuan bejad',negative
"Anda DIDUNGUKAN Islam, Quran mengajarkan AMORAL USER Ansor Sebagai agama, Islam punya posisi moralnya sendiri","anda didungukan islam, alquran mengajarkan amoral pengguna ansor sebagai agama, islam punya posisi moralnya sendiri",negative
"Owner disini Seo sama Tae, adminnya masih hiring bebs :3 #\xce\xb7\xce\xb3\xcf\x85\xd0\xbc\xcf\x85\xd1\x82\xc6\x92\xce\xb1\xd0\xbcs'","owner di sini seo sama tae, adminnya masih hiring sayang :3 #s'",negative
"USER Okesip otak bolot gue konfyus :')""","pengguna oke sip otak bolot gue bingung :')""",negative
yg jelas-jelas masih hidup itu prabowo anak soemitro pengkhianat bangsa,yang jelas-jelas masih hidup itu prabowo anak soemitro penghianat bangsa,negative
USER USER Yang perek kan ibu lo.. gimana sih.. pasti sdh dool ya',pengguna pengguna yang perek kan ibu lo.. bagaimana sih.. pasti sudah doll ya',negative
RT USER USER USER Pilih presiden yg jelas orang tua nya yang bukan pengkhianat negara,rt pengguna pengguna pengguna pilih presiden yang jelas orang tua nya yang bukan penghianat negara,negative
Ga apa sih Ahok prnh diblng penista agama tp ga kek politikus koruptor dipanggil urusan hukum ngeles pake sakit hati-hati ntar keterusan mati.,tidak apa sih ahok pernah dibilang penista agama tetapi tidak kayak politikus koruptor dipanggil urusan hukum ngeles pakai sakit hati-hati nanti keterusan mati.,negative
USER USER USER Tolol sekali anda ini? Ngaji dimana kau ini kl agama islam sprti itu? Ketahuan ini orang ngajinya sm orang ngk jelas ini?',pengguna pengguna pengguna tolol sekali anda ini? mengaji dimana kamu ini kalau agama islam seperti itu? ketahuan ini orang mengajinya sama orang tidak jelas ini?',negative
New post: Festival Pesona Tambora Angkat Eksotisme Alam dan Budaya Dompu dan Bima,new post: festival pesona tambora angkat eksotisme alam dan budaya dompu dan bima,negative
"USER USER Bang USER melakukan itu. Dia tetap Kristen, istrinya tetap muslim. Bisa kok, dengan strategi tertentu.'","pengguna pengguna bang pengguna melakukan itu. dia tetap kristen, istrinya tetap muslim. bisa kok, dengan strategi tertentu.'",negative
"Presiden Joko Widodo (Jokowi) membuka Kongres 29 Perhimpunan Mahasiswa Katolik Republik Indonesia (PMKRI).; ; USER berpesan di konteks tahun politik 2018, agar semua pihak menjaga kondisi. Kontestasi politik perlu diisi dengan adu program dan gagasan ra","presiden joko widodo (jokowi) membuka kongres 29 perhimpunan mahasiswa katolik republik indonesia (pmkri).; ; pengguna berpesan di konteks tahun politik 2018, agar semua pihak menjaga kondisi. kontestasi politik perlu diisi dengan adu program dan gagasan ra",negative
"USER Cebong di kasih fakta dia bilang dusta, Cebong dikasih dusta dia bilang realita, Cebonger's emang bikin gemes\xf0\x9f\x98\x82""","pengguna cebong di kasih fakta dia bilang dusta, cebong dikasih dusta dia bilang realita, cebonger's memang bikin gemes""",negative
USER USER Cina kafir ini mah...Bangsat lu!! Dasar Komunis !!',pengguna pengguna cina kafir ini mah...bangsat lu!! dasar komunis !!',negative
USER USER USER Rakyat kaum bani cebong',pengguna pengguna pengguna rakyat kaum bani cebong',negative
"KENAPA GUE NANGIS ANJIR, CUPU LO FIK!'","kenapa gue menangis anjir, cupu kamu fik!'",negative
kangen edan USER USER',kangen edan pengguna user',negative
USER Ohh mami kontolku besar panjang 3jari setengah panjang lewat pusat aku..mungkin 3 aku ngentot mami.mami kecapaian...',pengguna oh mami kontolku besar panjang tiga jari setengah panjang lewat pusat aku..mungkin 3 aku ngentot mami.mami kecapaian...',negative
"Di kuliah umum Maroko, ada yg bilang Anies ""Super Gubernur"".; Mungkin jaga perasaan, gak enak klo bilang ""Anda yg lebih layak jadi Presiden"" :-)","di kuliah umum maroko, ada yang bilang anies ""super gubernur"".; mungkin jaga perasaan, tidak enak kalau bilang ""anda yang lebih layak jadi presiden"" :-)",negative
"Ini orang-orang maha benar nan suci maunya apa sih? \n\nPenghina presiden dilepas karena masih di bawah umur ngeluhnya nggak ditahan karena Cina.\n\nKalau misal ditahan, mungkin ngeluhnya pemerintah mau balik ke orba.\n\nNjuk geleme piye, su?'","ini orang-orang maha benar nan suci maunya apa sih? penghina presiden dilepas karena masih di bawah umur mengeluhnya enggak ditahan karena cina. kalau misal ditahan, mungkin mengeluhnya pemerintah mau balik ke orba. njuk maunya piye, su?'",negative
Ga salah memang USER &amp; USER bilang antek Aseng tapi adiknya Prabowo bilang Prabowo pro Amerika. URL,tidak salah memang pengguna &amp; pengguna bilang antek asing tapi adiknya prabowo bilang prabowo pro amerika. uniform resource locator,negative
"Dijodohkan Presiden, Pengantin Wanita Tajikistan Tampak ""Sedih""","dijodohkan presiden, pengantin wanita tajikistan tampak ""sedih""",negative
"Peresmian dan Pemberkatan Gereja Katolik Hati Kudus Yesus Batu Gantung, Ambon'","peresmian dan pemberkatan gereja katolik hati kudus yesus batu gantung, ambon'",negative
"7. Kaga ngeliat tapi ""ngerasa"" wkakak dan gua ngerasa lagi tot sma setan'","7. tidak melihat tapi ""ngerasa"" wkwk dan gue merasa lagi tot sama setan'",negative
RT USER: Eh ada wartawan Selandia Baru Rasa Kampret dan dibuat berita oleh Kampret disebar di WAG. Konferensi Pers tdk dilakukan\xe2\x80\xa6',rt user: eh ada wartawan selandia baru rasa kampret dan dibuat berita oleh kampret disebar di wag. konferensi pers tidak dilakukan',negative
USER USER USER USER USER Pencitraan Lu...ah.......Prabowo msh tidur.....,pengguna pengguna pengguna pengguna pengguna pencitraan lu...ah.......prabowo masih tidur.....,negative
"Ustadz Subki Al-Bughury, S. Sos.I saja mendukung Pilkada Damai di Kab. Sinjai Tanpa Hoax, Ujaran Kebencian dan Isu Sara,..KALAU ANDA...??; USER USER USER","ustaz subki al-bughury, s. sos.i saja mendukung pilihan kepala daerah damai di kab. sinjai tanpa hoax, ujaran kebencian dan isu sara,..kalau anda...??; pengguna pengguna pengguna",negative
RT USER: #RETWEET\nSensasi Ngentot Dengan Cewek Cantik Berhijab ...\xf0\x9f\x98\x8d\n\n( Part1)\n\n#blowjob #kontol #hijab #ngentothijab #sepongkon\xe2\x80\xa6',rt user: #retweet sensasi ngentot dengan cewek cantik berhijab ... ( part1) #blowjob #kontol #hijab #ngentothijab #sepongkon',negative
USER USER USER USER USER biasa bro dia ciri2 cebong adu domba begitu so lugu namanya juga cebong buzzer recehan yg begini\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',pengguna pengguna pengguna pengguna pengguna biasa bro dia ciri ciri cebong adu domba begitu sok lugu namanya juga cebong buzzer recehan yang begini',negative
(DETIKCOM | Jangan Buru-buru Tolak Wacana Pilkada Lewat DPRD) #pemilu #pemilu2019,(detikcom | jangan buru-buru tolak wacana pilihan kepala daerah lewat dprd) #pemilu #pemilu2019,negative
"FPI itu ada dan NYATA, Darul Islam itu ada dan NYATA USER USER Isis itu tdk ada.. hnya propaganda politik","front pembela islam itu ada dan nyata, darul islam itu ada dan nyata pengguna pengguna isis itu tidak ada.. hanya propaganda politik",negative
RT USER Prabowo sdh tua perlu generasi muda yg bisa blusukan dan Jokowi msh muda dan saat ini sering blusukan diberbagai pulau,rt pengguna prabowo sudah tua perlu generasi muda yang bisa blusuk dan jokowi masih muda dan saat ini sering blusuk diberbagai pulau,negative
"Mohon Maaf""; Kalau Sekarang Pemilihan PRESIDEN anda Memilih Siapa; Bpk Jokowi : Like; Bpk Prabowo : RT;","mohon maaf""; kalau sekarang pemilihan presiden anda memilih siapa; bapak jokowi : like; bapak prabowo : rt;",negative
"Bukan ga berani, sepertinya.minoritas tau diri dan pasrahh, karena pembalasan milik Tuhan Allah.","bukan tidak berani, sepertinya.minoritas tau diri dan pasrahh, karena pembalasan milik tuhan allah.",negative
napadah shopee kampang',apa dah shopee kampang',negative
"Bu, di perpustakaan orangnya pada bisu ya bu? | hah? Emang knp nak? | tuh mereka pada diem2an, ga ada yg bersuara | -__- ,'","bu, di perpustakaan orangnya pada bisu ya bu? | hah? memang kenapa nak? | itu mereka pada diem2an, tidak ada yang bersuara | -__- ,'",negative
lu baca bandingkan modal dgn hasil diperpanjang atau tidak dasar antek asing,kamu baca bandingkan modal dengan hasil diperpanjang atau tidak dasar antek asing,negative
USER Kerjaan? Tugas prakarya seni budaya? :3,pengguna kerjaan? tugas prakarya seni budaya? :3,negative
USER kolam buaya kagak ada qey',pengguna kolam buaya tidak ada qey',negative
USER Yu...mari kita songsong presiden baru ditahun 2019,pengguna yu...mari kita songsong presiden baru di tahun 2019,negative
"USER USER Mana mungkin w bani ngepost milik orang lain nik--""'","pengguna pengguna mana mungkin gue bani ngepost milik orang lain nik--""'",negative
USER USER Cebong tidak akan pernah senang lihat kejayaan pk anis mereka akan ttp sirik. Yg parahnya klu junjungan dipuji habis habisan meskipun melakukan hal buruk.',pengguna pengguna cebong tidak akan pernah senang lihat kejayaan pak anis mereka akan tetap sirik. yang parahnya kalau junjungan dipuji habis habisan meskipun melakukan hal buruk.',negative
RT USER: USER Klo busuk mawati beragama islam .. Maka dia Takut dg dirinya sendiri\nGejala gila nich nenek ..',rt user: pengguna kalau busuk mawati beragama islam .. maka dia takut dengan dirinya sendiri gejala gila nih nenek ..',negative
"Salah satu obyek vital yg pengamanannya lemah itu gedung DPR. Smg dgn disahkannya UU Antiterorisme yg baru, DPR tak jadi sasaran bom bunuh diri. Amin. *Tapi doa saya biasanya tak terkabul \xf0\x9f\x98\x89*'","salah satu obyek vital yang pengamanannya lemah itu gedung dpr. semoga dengan disahkannya undang undang anti terorisme yang baru, dewan perwakilan rakyat tak jadi sasaran bom bunuh diri. amin. *tapi doa saya biasanya tak terkabul *'",negative
ini jalan dua platform ya\ndi fb juga jalan\nbom yang gede klo mau dapet',ini jalan dua platform ya di facebook juga jalan bom yang gede kalau mau dapet',negative
Dikira org katolik coba:(',dikira orang katolik coba:(',negative
USER berarti lo cacat',pengguna berarti kamu cacat',negative
USER USER USER USER USER Hahahaha roti buaya mah buat nikahan pak',pengguna pengguna pengguna pengguna pengguna haha roti buaya adalah buat nikahan pak',negative
USER USER luhut bajingan',pengguna pengguna luhut bajingan',negative
Me every night:\nAAAAA ANJENG GUE MALU BANGSAD. MAU ILANG AJA. AAAAAAAAA. APAAN SIH GUE JIJIK BANGET. AAAAAAAAA. INI APAAN SIH GUE DULU NGGAK DANTA. AAAAAAAAAAA. MAU ILANG AJA. AAAAAAAAAAAAAAA.',me every night: aaaaa anjing gue malu bangsad. mau hilang aja. aaaaaaaaa. apaan sih gue jijik banget. aaaaaaaaa. ini apaan sih gue dulu enggak danta. aaaaaaaaaaa. mau hilang aja. aaaaaaaaaaaaaaa.',negative
USER Terus??\nAlus nya di puji. Butut nya disebut butut. Goblog disebut goblog.',pengguna terus?? halus nya di puji. butut nya disebut butut. goblok disebut goblog.',negative
Yang sabar gua mah punya adek2 kunyuk yg bau kek sempak kuda',yang sabar gue adalah punya adek adek kunyuk yang bau kayak sempak kuda',negative
Tuhan itu iBlis . Iblis itu Tuhan . Agama onta',tuhan itu iblis . iblis itu tuhan . agama onta',negative
USER USER USER USER USER USER USER USER Assalamu alaikm ibu USER tlng hrp bantuanx u kmi #korbanphkfreeport,pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna asalamualaikum alaykum ibu pengguna tolong harap bantuannya kamu kami #korbanphkfreeport,negative
RT USER USER Para jendral propaganda mereka perang propaganda dgn jualan utamanya pki dan cinaisasi..,rt pengguna pengguna para jenderal propaganda mereka perang propaganda dengan jualan utamanya partai komunis indonesia dan cinaisasi..,negative
USER Ngentot donk',pengguna ngentot donk',negative
"Pesan Presiden Joko Widodo,""Saya meyakini Negara kita Indonesia akan semakin besar dan kuat apabila Ulama dan Umaro beriringan"". Selengkapnya terlait pesan Bapak Presiden simak video berikut ini #JokowiSilaturahmidenganUlama..#JokowiCintaUlama..#JokowiAja","pesan presiden joko widodo,""saya meyakini negara kita indonesia akan semakin besar dan kuat apabila ulama dan umara beriringan"". selengkapnya terkait pesan bapak presiden simak video berikut ini #jokowisilaturahmidenganulama..#jokowicintaulama..#jokowiaja",negative
